round_id,pipeline_version,started_at,status,target_method,base_query,final_query,query_width_k,decision_width,guardian_order_by,total_available,candidates_retrieved,candidates_filtered,scored_count,unique_scored,duplicate_scored,unique_rate,tier_a_count,tier_b_count,near_miss_count,reward_R,reward_V,goldmine_triggered,phase,failure_stage,failure_message
1,v3,2026-04-05T04:18:16.725385+00:00,completed,prepost,"(""before and after"" OR ""pre-post"" OR baseline OR ""follow-up evaluation"" OR ""post-implementation"") AND (introduced OR ""decided to"" OR ""will introduce"" OR scrapped OR ""scale up"" OR trialled OR pilot OR mandated OR ""plans to"" OR implemented OR rollout OR ""rolled out"") AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")","(""before and after"" OR ""pre-post"" OR baseline OR ""follow-up evaluation"" OR ""post-implementation"") AND (introduced OR ""decided to"" OR ""will introduce"" OR scrapped OR ""scale up"" OR trialled OR pilot OR mandated OR ""plans to"" OR implemented OR rollout OR ""rolled out"") AND NOT (sentencing OR prosecution OR defendant OR verdict OR convicted OR charged OR magistrate OR ""crown court"" OR jury OR appeal OR tournament OR championship OR ""premier league"" OR goal OR coach OR match OR album OR film OR theatre OR premiere OR ""box office"")",5,12,newest,1512,250,197,16,16,181,0.08121827411167512,0,0,0,-0.03890355329949238,0.32,False,1,,
2,v1,2026-04-04T16:08:22.249793+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND (""pilot"" OR ""rolled out"" OR ""implemented"" OR ""introduced"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND (""pilot"" OR ""rolled out"" OR ""implemented"" OR ""introduced"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,33,33,0,17,0,0,0.0,0,16,4,0.00136,0.0,False,,,
3,v1,2026-04-04T16:13:05.231401+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,39,39,0,18,0,0,0.0,0,17,4,0.00017999999999999998,0.0,False,,,
4,v1,2026-04-04T16:19:31.654486+00:00,completed,gut,"((""without evidence"" OR ""no evidence"" OR ""no data"" OR ""on a hunch"" OR ""gut feeling"" OR intuitively)) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere OR trial OR randomized OR randomised OR study OR evaluation OR pilot OR ""impact assessment"" OR review))","((""without evidence"" OR ""no evidence"" OR ""no data"" OR ""on a hunch"" OR ""gut feeling"" OR intuitively)) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere OR trial OR randomized OR randomised OR study OR evaluation OR pilot OR ""impact assessment"" OR review))",0,0,,36,36,0,27,0,0,0.0,0,14,0,0.0018900000000000004,0.0,False,,,
5,v1,2026-04-04T16:25:31.349123+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,59,59,0,29,0,0,0.0,0,21,6,0.0007250000000000001,0.0,False,,,
6,v1,2026-04-04T16:29:53.979571+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,39,39,0,18,0,0,0.0,0,17,4,0.0,0.0,False,,,
7,v1,2026-04-04T16:32:31.576470+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"" OR ""plans to"" OR ""set to"" OR ""will decide"" OR ""to decide whether"" OR ""expected to"" OR ""is considering"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority)) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,21,21,0,7,0,0,0.0,0,6,1,0.00010500000000000002,0.0,False,,,
8,v1,2026-04-04T16:33:23.975340+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND (""government"" OR ""council"" OR ""nhs"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND (""government"" OR ""council"" OR ""nhs"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,42,42,0,20,0,0,0.0,0,15,3,0.0002,0.0,False,,,
9,v1,2026-04-04T16:37:06.005228+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND (""evaluation"" OR ""study"" OR ""analysis"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND ((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) AND (""evaluation"" OR ""study"" OR ""analysis"") AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,49,49,0,21,0,0,0.0,0,16,5,0.0,0.0,False,,,
10,v1,2026-04-04T16:41:11.119066+00:00,completed,rct,"((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))","((""randomised controlled trial"" OR ""randomized controlled trial"" OR ""randomised trial"" OR ""randomized trial"" OR ""randomly assigned"" OR ""random assignment"")) AND ((pilot OR ""pilot scheme"" OR ""pilot programme"" OR ""pilot program"" OR ""rolled out"" OR ""roll out"")) AND (((policy OR programme OR program OR scheme OR service OR measure OR regulation OR initiative OR intervention OR council OR government OR NHS OR city OR ""public health"" OR education OR transport OR policing)) OR ((government OR minister OR department OR council OR mayor OR NHS OR regulator OR agency OR authority))) AND ((evaluation OR study OR analysis OR assessment OR review OR report OR findings OR data OR evidence)) AND NOT ((sentencing OR prosecution OR defendant OR appeal OR court OR tribunal OR judge OR match OR tournament OR goal OR coach OR album OR film OR theatre OR premiere))",0,0,,39,39,0,18,0,0,0.0,0,16,4,0.0,0.0,False,,,
