url,id,title,section,method_queries,reason
https://www.theguardian.com/politics/live/2025/jul/15/starmer-reeves-farage-trump-tax-welfare-uk-politics-live-news-updates,politics/live/2025/jul/15/starmer-reeves-farage-trump-tax-welfare-uk-politics-live-news-updates,Thousands offered UK asylum in secret scheme after personal data of Afghans who helped British forces leaked by mistake – as it happened,Politics,casestudy,liveblog
https://www.theguardian.com/politics/live/2024/oct/21/keir-starmer-wes-streeting-consultation-reforming-nhs-labour-policy-uk-politics-live,politics/live/2024/oct/21/keir-starmer-wes-streeting-consultation-reforming-nhs-labour-policy-uk-politics-live,"Employment rights bill will cost firms £5bn per year but benefits will justify costs, government says – as it happened",Politics,casestudy,liveblog
https://www.theguardian.com/politics/live/2025/may/12/immigration-keir-starmer-labour-reform-visa-foreign-workers-uk-politics-latest-live-news,politics/live/2025/may/12/immigration-keir-starmer-labour-reform-visa-foreign-workers-uk-politics-latest-live-news,Labour MP says Starmer’s ‘island of strangers’ warning over immigration mimics scaremongering of far right – as it happened,Politics,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2025/aug/06/australia-news-live-albanese-macron-gaza-palestine-queensland-teachers-strike-esafety-apple-youtube-google-nsw-victoria-labor-coalition-ntwnfb,australia-news/live/2025/aug/06/australia-news-live-albanese-macron-gaza-palestine-queensland-teachers-strike-esafety-apple-youtube-google-nsw-victoria-labor-coalition-ntwnfb,ASIC close to approving rival exchange for ASX – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2024/nov/14/australia-news-high-court-immigration-detainees-jobs-figures-anthony-albanese-peter-dutton-labor-coalition-interest-rates-michele-bullock,australia-news/live/2024/nov/14/australia-news-high-court-immigration-detainees-jobs-figures-anthony-albanese-peter-dutton-labor-coalition-interest-rates-michele-bullock,Police make arrest and seize water pistol after incident outside NSW parliament – as it happened,Australia news,"casestudy,expert_qual",liveblog
https://www.theguardian.com/australia-news/live/2025/feb/06/australia-politics-news-live-labor-anti-hate-speech-laws-mandatory-sentences-federal-election-campaign-anthony-albanese-peter-dutton-ntwnfb,australia-news/live/2025/feb/06/australia-politics-news-live-labor-anti-hate-speech-laws-mandatory-sentences-federal-election-campaign-anthony-albanese-peter-dutton-ntwnfb,AFP boss questioned about PM’s knowledge of Dural caravan – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/politics/live/2024/dec/19/keir-starmer-questions-liaison-committee-donald-trump-administration-uk-politics-latest-updates,politics/live/2024/dec/19/keir-starmer-questions-liaison-committee-donald-trump-administration-uk-politics-latest-updates,Starmer claims he cannot think of anything he should have done differently in first months as PM – as it happened,Politics,casestudy,liveblog
https://www.theguardian.com/politics/live/2024/nov/22/uk-politics-latest-news-labour-immigration-conservatives,politics/live/2024/nov/22/uk-politics-latest-news-labour-immigration-conservatives,"UK politics: UK would comply with Netanyahu arrest warrant, says No 10 – as it happened",Politics,"casestudy,expert_qual",liveblog
https://www.theguardian.com/australia-news/live/2023/jul/07/australia-news-live-politics-robodebt-report-royal-commission-scott-morrison-stuart-robert-energy-gas,australia-news/live/2023/jul/07/australia-news-live-politics-robodebt-report-royal-commission-scott-morrison-stuart-robert-energy-gas,Robodebt royal commission report handed down – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2025/jan/23/australia-news-live-australian-open-dark-web-antisemitic-attacks-anthony-albanese-peter-dutton-election-campaign,australia-news/live/2025/jan/23/australia-news-live-australian-open-dark-web-antisemitic-attacks-anthony-albanese-peter-dutton-election-campaign,LNP denies decision has been made on Brisbane Olympic venues – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/politics/live/2024/apr/10/rishi-sunak-keir-starmer-conservatives-labour-uk-politics-live,politics/live/2024/apr/10/rishi-sunak-keir-starmer-conservatives-labour-uk-politics-live,"Post Office Horizon IT cases ‘the greatest scandal I have ever seen’, says former senior judge – as it happened",Politics,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2024/feb/26/australia-politics-live-dunkley-byelection-anthony-albanese-peter-dutton-question-time-tax-cuts-reserve-bank-rba-reform-rent-to-buy,australia-news/live/2024/feb/26/australia-politics-live-dunkley-byelection-anthony-albanese-peter-dutton-question-time-tax-cuts-reserve-bank-rba-reform-rent-to-buy,Senate votes against reviving Qantas inquiry – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2023/dec/07/australia-politics-live-ndis-review-to-be-published-israeli-ambassador-very-sad-about-rise-in-antisemitism,australia-news/live/2023/dec/07/australia-politics-live-ndis-review-to-be-published-israeli-ambassador-very-sad-about-rise-in-antisemitism,Final question time of the year – as it happened,Australia news,"casestudy,expert_qual",liveblog
https://www.theguardian.com/australia-news/live/2023/may/02/rba-reserve-bank-interest-rates-decision-mortgage-mark-butler-vaping-menace-speech-anthony-albanese-uk-trip-coronation,australia-news/live/2023/may/02/rba-reserve-bank-interest-rates-decision-mortgage-mark-butler-vaping-menace-speech-anthony-albanese-uk-trip-coronation,"Central bank decision a ‘wake-up call’, opposition say – as it happened",Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2024/jul/09/attorney-general-national-press-club-money-laundering-drug-use-on-the-rise-anthony-albanese-peter-dutton-labor-liberal,australia-news/live/2024/jul/09/attorney-general-national-press-club-money-laundering-drug-use-on-the-rise-anthony-albanese-peter-dutton-labor-liberal,"‘A long way to go’ on combating domestic violence, PM says – as it happened",Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2024/apr/18/australia-news-live-stabbing-bondin-junction-westfield-wakeley-riot-sydney-terror-attack-anthony-albanese-daniel-andrews,australia-news/live/2024/apr/18/australia-news-live-stabbing-bondin-junction-westfield-wakeley-riot-sydney-terror-attack-anthony-albanese-daniel-andrews,Seven boss departs – as it happened,Australia news,"casestudy,expert_qual",liveblog
https://www.theguardian.com/australia-news/live/2023/nov/06/australia-news-live-senate-workplace-reforms-david-pocock-jaqui-lambie-anthony-albanese-china-beijing-xi-jinping,australia-news/live/2023/nov/06/australia-news-live-senate-workplace-reforms-david-pocock-jaqui-lambie-anthony-albanese-china-beijing-xi-jinping,Morrison says world should not get ‘suckered into’ Gaza ceasefire – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/business/live/2023/jul/26/nigel-farage-natwest-rbs-alison-rose-resigns-chief-executive-coutts-bank-government-gb-news-business-live,business/live/2023/jul/26/nigel-farage-natwest-rbs-alison-rose-resigns-chief-executive-coutts-bank-government-gb-news-business-live,Data watchdog to investigate complaint after NatWest boss discussed Nigel Farage details – as it happened,Business,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2023/may/16/australia-news-live-24m-boost-for-fight-against-human-trafficking-rba-to-explain-latest-rate-hike,australia-news/live/2023/may/16/australia-news-live-24m-boost-for-fight-against-human-trafficking-rba-to-explain-latest-rate-hike,Treasurer wants energy transition to be his legacy – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2023/jan/30/australia-news-live-referendum-no-campaign-arts-family-law-custody-tony-burke-warren-mundine-jacinta-price-john-anderson-transport-radioactive-capsule,australia-news/live/2023/jan/30/australia-news-live-referendum-no-campaign-arts-family-law-custody-tony-burke-warren-mundine-jacinta-price-john-anderson-transport-radioactive-capsule,Murdoch granted leave to expand legal case – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2023/feb/21/australia-news-live-interest-rates-reserve-bank-poll-ndis-health-housing-economy-albanese-dutton-greens,australia-news/live/2023/feb/21/australia-news-live-interest-rates-reserve-bank-poll-ndis-health-housing-economy-albanese-dutton-greens,MP gives first speech to parliament – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2023/mar/22/australia-politics-live-voice-referendum-labor-coalition-albanese-dutton-aukus-defence-submarines-economy-health-housing-interest-rates-vic-qld-nsw-election,australia-news/live/2023/mar/22/australia-politics-live-voice-referendum-labor-coalition-albanese-dutton-aukus-defence-submarines-economy-health-housing-interest-rates-vic-qld-nsw-election,Voice referendum question and constitutional amendment could come tomorrow – as it happened,Australia news,casestudy,liveblog
https://www.theguardian.com/australia-news/live/2022/aug/25/australia-politics-anthony-albanese-robodebt-royal-commission-cost-of-living-jobs-summit,australia-news/live/2022/aug/25/australia-politics-anthony-albanese-robodebt-royal-commission-cost-of-living-jobs-summit,Liberal MP suggests Labor also responsible for robodebt – as it happened,Australia news,casestudy,liveblog
