url,id,title,section,method_queries,reason
https://www.theguardian.com/football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft,football/2025/apr/29/quiet-rise-of-rookies-shows-benefit-nwsl-decision-ditch-draft,Quiet rise of rookies shows benefit of NWSL’s bold decision to ditch draft,Football,casestudy,sport
https://www.theguardian.com/football/2025/jun/09/worst-sports-movie-made-sepp-blatter-about-fifa-united-passions,football/2025/jun/09/worst-sports-movie-made-sepp-blatter-about-fifa-united-passions,The worst sports movie in history? I asked Sepp Blatter about Fifa’s United Passions | Sean Ingle,Football,casestudy,sport
https://www.theguardian.com/football/2024/dec/16/real-madrid-keep-pushing-super-league-titanic-asterix-uefa,football/2024/dec/16/real-madrid-keep-pushing-super-league-titanic-asterix-uefa,Real Madrid evoke Titanic and Asterix in vow to keep pushing for Super League,Football,casestudy,sport
https://www.theguardian.com/sport/article/2024/may/06/sport-and-the-climate-emergency-collating-injustice-with-an-action-plan,sport/article/2024/may/06/sport-and-the-climate-emergency-collating-injustice-with-an-action-plan,Sport and the climate emergency: collating injustice with an action plan,Sport,casestudy,sport
https://www.theguardian.com/sport/2024/jan/07/bath-gloucester-premiership-rugby-union-match-report,sport/2024/jan/07/bath-gloucester-premiership-rugby-union-match-report,Gloucester undone by Englefield’s error as Bath climb to third place with win,Sport,casestudy,sport
https://www.theguardian.com/sport/blog/2024/mar/14/swim-englands-toxic-culture-must-go-it-is-time-for-sport-to-prioritise-joy,sport/blog/2024/mar/14/swim-englands-toxic-culture-must-go-it-is-time-for-sport-to-prioritise-joy,Swim England’s toxic culture must go – it is time for sport to prioritise joy | Cath Bishop,Sport,casestudy,sport
https://www.theguardian.com/sport/2022/oct/05/buffalo-bills-new-stadium,sport/2022/oct/05/buffalo-bills-new-stadium,"The Bills are getting a $1.4bn stadium, but taxpayers will pick up the tab",Sport,casestudy,sport
https://www.theguardian.com/sport/2023/jul/01/ashes-diary-rishi-sunak-talks-bazball-and-steve-smith-suffers-a-double-blow,sport/2023/jul/01/ashes-diary-rishi-sunak-talks-bazball-and-steve-smith-suffers-a-double-blow,Ashes diary: Rishi Sunak talks Bazball and Steve Smith suffers a double blow,Sport,casestudy,sport
https://www.theguardian.com/football/2023/jul/13/review-women-football-overhaul-future,football/2023/jul/13/review-women-football-overhaul-future,Karen Carney review demands overhaul of women’s football to transform future,Football,casestudy,sport
https://www.theguardian.com/sport/2023/jul/11/northwestern-hazing-scandal-toxic-culture-pat-fitzgerald,sport/2023/jul/11/northwestern-hazing-scandal-toxic-culture-pat-fitzgerald,The Northwestern scandal is evidence that hazing isn’t simply a relic of football’s past,Sport,casestudy,sport
https://www.theguardian.com/sport/blog/2022/jan/18/operation-dead-meat-ruthless-eddie-jones-wields-the-knife-again-for-england,sport/blog/2022/jan/18/operation-dead-meat-ruthless-eddie-jones-wields-the-knife-again-for-england,Operation Dead Meat: Ruthless Eddie Jones wields the knife again for England | Robert Kitson,Sport,casestudy,sport
https://www.theguardian.com/sport/2021/dec/03/can-two-young-orthodox-jewish-players-juggle-pro-baseball-and-religion,sport/2021/dec/03/can-two-young-orthodox-jewish-players-juggle-pro-baseball-and-religion,Can two young Orthodox Jewish players juggle pro baseball and religion?,Sport,casestudy,sport
https://www.theguardian.com/football/2021/jul/15/matildas-latest-defeat-shines-light-on-gap-between-expectations-and-reality,football/2021/jul/15/matildas-latest-defeat-shines-light-on-gap-between-expectations-and-reality,Matildas’ latest defeat shines light on gap between expectations and reality | Samantha Lewis,Football,casestudy,sport
https://www.theguardian.com/sport/2022/jan/10/day-of-djokovic-mayhem-creates-more-questions-than-answers,sport/2022/jan/10/day-of-djokovic-mayhem-creates-more-questions-than-answers,Day of Djokovic mayhem creates more questions than answers | Tumaini Carayol,Sport,casestudy,sport
https://www.theguardian.com/football/2022/may/30/mls-watchability-rankings-who-is-the-most-entertaining-team-in-the-league,football/2022/may/30/mls-watchability-rankings-who-is-the-most-entertaining-team-in-the-league,MLS watchability rankings: who is the most entertaining team in the league?,Football,casestudy,sport
https://www.theguardian.com/sport/blog/2021/dec/17/jimmy-anderson-offers-a-flicker-of-what-might-have-been-for-england,sport/blog/2021/dec/17/jimmy-anderson-offers-a-flicker-of-what-might-have-been-for-england,Self-dooming England get an Ashes sniff of what they could have won | Barney Ronay,Sport,casestudy,sport
https://www.theguardian.com/sport/2021/may/11/kyle-sinckler-can-use-the-hurt-of-his-lions-omission-to-scale-new-heights,sport/2021/may/11/kyle-sinckler-can-use-the-hurt-of-his-lions-omission-to-scale-new-heights,The Breakdown | Kyle Sinckler can use the hurt of his Lions omission to scale new heights,Sport,casestudy,sport
https://www.theguardian.com/sport/blog/2020/dec/16/australian-rules-football-players-head-trauma-global-issue,sport/blog/2020/dec/16/australian-rules-football-players-head-trauma-global-issue,Australian rules football cases show players' head trauma is a global issue | Andy Bull,Sport,casestudy,sport
https://www.theguardian.com/sport/2021/jul/21/turning-up-is-the-real-test-do-that-and-australias-olympians-are-halfway-there,sport/2021/jul/21/turning-up-is-the-real-test-do-that-and-australias-olympians-are-halfway-there,Turning up is the real test; do that and Australia’s Olympians are halfway there | Kieran Pender,Sport,casestudy,sport
https://www.theguardian.com/football/blog/2020/nov/02/uefa-ceferin-plays-mayor-vaughn-and-ploughs-on-champions-league-europa,football/blog/2020/nov/02/uefa-ceferin-plays-mayor-vaughn-and-ploughs-on-champions-league-europa,Uefa's Ceferin plays Mayor Vaughn and ploughs on regardless amid pandemic,Football,casestudy,sport
https://www.theguardian.com/football/2021/apr/22/a-colombian-lesson-from-history-the-super-league-battle-is-not-over,football/2021/apr/22/a-colombian-lesson-from-history-the-super-league-battle-is-not-over,A lesson from history: the European Super League battle is not over | Jonathan Wilson,Football,casestudy,sport
https://www.theguardian.com/football/2020/apr/09/ciara-mccormack-canada-soccer-vancouver-whitecaps,football/2020/apr/09/ciara-mccormack-canada-soccer-vancouver-whitecaps,'People did wrong': Canadian soccer whistleblower rues lack of action,Football,casestudy,sport
https://www.theguardian.com/football/2019/dec/19/lesbian-mafia-not-behind-sacking-of-matildas-coach-alen-stajcic-report,football/2019/dec/19/lesbian-mafia-not-behind-sacking-of-matildas-coach-alen-stajcic-report,'Lesbian mafia' not behind sacking of Matildas coach Alen Stajcic: report,Football,casestudy,sport
https://www.theguardian.com/sport/2020/jul/01/pga-tour-happy-playing-a-high-risk-game-to-reboot-sport-in-the-us,sport/2020/jul/01/pga-tour-happy-playing-a-high-risk-game-to-reboot-sport-in-the-us,PGA Tour happy playing a high-risk game to reboot sport in the US | Ewan Murray,Sport,casestudy,sport
https://www.theguardian.com/sport/2019/aug/15/england-wales-battle-become-world-leaders,sport/2019/aug/15/england-wales-battle-become-world-leaders,England and Wales could battle it out to become world leaders,Sport,casestudy,sport
https://www.theguardian.com/sport/2019/aug/19/kearnan-myall-england-players-mental-health-training-camp,sport/2019/aug/19/kearnan-myall-england-players-mental-health-training-camp,Kearnan Myall: ‘Several England players I know dread training camp’,Sport,casestudy,sport
