article_idx,article_id,url,title,in_training,dominant_prob_seed42,companion_stability
0,us-news/2025/apr/05/covid-policies-lockdown-masks-liberals-book,https://www.theguardian.com/us-news/2025/apr/05/covid-policies-lockdown-masks-liberals-book,‘A case study in groupthink’: were liberals wrong about the pandemic?,yes,0.532,0.1385
1,taking-the-step-to-tomorrows-heating/2025/may/06/britain-on-heat-pumps-how-switching-helps-the-planet,https://www.theguardian.com/taking-the-step-to-tomorrows-heating/2025/may/06/britain-on-heat-pumps-how-switching-helps-the-planet,This is Britain on heat pumps: how a nationwide switch could help our planet,yes,0.9837,0.2131
2,australia-news/2025/aug/04/last-resort-when-the-only-option-left-amid-australias-housing-crisis-is-a-motel-ntwnfb,https://www.theguardian.com/australia-news/2025/aug/04/last-resort-when-the-only-option-left-amid-australias-housing-crisis-is-a-motel-ntwnfb,Last resort: when the only option left amid Australia’s housing crisis is a motel,yes,0.4574,0.0874
3,politics/article/2024/may/26/rishi-sunaks-national-service-pledge-is-bonkers-says-ex-military-chief,https://www.theguardian.com/politics/article/2024/may/26/rishi-sunaks-national-service-pledge-is-bonkers-says-ex-military-chief,"Rishi Sunak’s national service pledge is ‘bonkers’, says ex-military chief",yes,0.5427,0.2983
4,politics/2025/jul/13/many-happy-returns-economic-policy-target-wellbeing-covid,https://www.theguardian.com/politics/2025/jul/13/many-happy-returns-economic-policy-target-wellbeing-covid,Why Labour should target happiness alongside economic growth | Heather Stewart,yes,0.2558,0.2224
5,society/2023/nov/11/hackney-walk-east-london-regeneration-ghost-town,https://www.theguardian.com/society/2023/nov/11/hackney-walk-east-london-regeneration-ghost-town,‘It was a case study for what not to do’: the regeneration project that became a £100m luxury ghost town,yes,0.6446,0.0991
6,science/2025/may/30/vet-complaint-process-in-uk-often-stacked-against-pet-owners,https://www.theguardian.com/science/2025/may/30/vet-complaint-process-in-uk-often-stacked-against-pet-owners,Vet complaint process in UK often ‘stacked against pet owners’,yes,0.484,0.041
7,money/2025/mar/07/crypto-scam-victims,https://www.theguardian.com/money/2025/mar/07/crypto-scam-victims,"‘You get sucked in’: crypto scam victims on how they lost up to £162,000",yes,0.7197,0.3517
8,technology/2025/aug/05/productivity-commission-digital-economy-report-copyright-rules-text-and-data-mining-to-train-ai-models,https://www.theguardian.com/technology/2025/aug/05/productivity-commission-digital-economy-report-copyright-rules-text-and-data-mining-to-train-ai-models,Should big tech be allowed to mine Australians’ text and data to train AI? The Productivity Commission is considering it,yes,0.425,0.108
9,uk-news/2025/may/31/transport-for-london-tfl-blocks-ads-bpas-decriminalise-abortion,https://www.theguardian.com/uk-news/2025/may/31/transport-for-london-tfl-blocks-ads-bpas-decriminalise-abortion,TfL blocks ads calling on people to lobby MPs to decriminalise abortion,yes,0.3466,0.3725
10,world/2025/apr/17/uyghur-rights-group-calls-on-hotel-chains-not-to-sanitise-china-abuses-in-xinjiang,https://www.theguardian.com/world/2025/apr/17/uyghur-rights-group-calls-on-hotel-chains-not-to-sanitise-china-abuses-in-xinjiang,Uyghur rights group calls on hotel chains not to ‘sanitise’ China abuses in Xinjiang,yes,0.384,0.1213
11,uk-news/2025/mar/25/online-gangs-teenage-boys-sharing-extreme-material-emerging-threat-uk,https://www.theguardian.com/uk-news/2025/mar/25/online-gangs-teenage-boys-sharing-extreme-material-emerging-threat-uk,Online gangs of teenage boys sharing extreme material are ‘emerging threat’ in UK,yes,0.3036,0.3221
12,money/2024/oct/05/the-solo-penalty-from-rent-to-holidays-being-single-is-costing-me-12000-extra-a-year,https://www.theguardian.com/money/2024/oct/05/the-solo-penalty-from-rent-to-holidays-being-single-is-costing-me-12000-extra-a-year,"The solo penalty, from rent to holidays: ‘Being single is costing me £12,000 extra a year’",yes,0.9995,0.2515
13,money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,https://www.theguardian.com/money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,Who are the ‘Waspi women’ and why do they feel betrayed over pensions?,yes,0.4314,0.1999
14,australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,https://www.theguardian.com/australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,"NSW may be forced to pay $150m a year to extend life of coal-fired plant, energy expert predicts",yes,0.4987,0.5319
15,australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,https://www.theguardian.com/australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,"Australia’s aged care overhaul: what are the changes, and will you have to pay more?",yes,0.5189,0.1595
16,society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,https://www.theguardian.com/society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,Harm from problem gambling in Great Britain ‘may be eight times higher than thought’,yes,0.4665,0.0922
17,business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,https://www.theguardian.com/business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,"Clothing shortages, food waste and millions lost each day: inside the M&S cyber-attack chaos",yes,0.7332,0.1283
18,media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,https://www.theguardian.com/media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,Court’s nuanced analysis of Nick McKenzie’s secret recording in Ben Roberts-Smith appeal a far cry from Sky News claims ,yes,0.3544,0.1334
19,australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,https://www.theguardian.com/australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,Steadfast Group announces review after Four Corners report alleged brokers hid cheaper quote from rival,yes,0.6633,0.2843
20,society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,https://www.theguardian.com/society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,"Digital tech can offer rich opportunities for child development, study says",yes,0.5176,0.3625
21,business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,https://www.theguardian.com/business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,Australian academics apologise for false AI-generated allegations against big four consultancy firms,yes,0.6805,0.2843
22,uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,https://www.theguardian.com/uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,‘We have to protect people’: Martin Lewis on his fight to stop money worries worsening mental health,yes,0.528,0.4896
23,global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,https://www.theguardian.com/global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,Those who depend on aid must embrace Trump’s bombshell and shape their own destiny | Janet Mawiyoo,yes,0.2588,0.0638
24,science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,https://www.theguardian.com/science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,Forensic science centre that inspired BBC show Traces at risk of closure,yes,0.3674,0.0853
25,news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,https://www.theguardian.com/news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,‘Something has gone very wrong’: how the carers scandal was exposed,yes,0.9181,0.2801
