alpha,eta,c_v_mean,c_v_std,stability
0.01,0.001,0.4665,0.0288,0.2213
0.01,0.01,0.466,0.029,0.2268
0.01,0.1,0.4632,0.0301,0.2307
0.01,symmetric,0.4646,0.0266,0.2062
0.01,auto,0.4646,0.0266,0.2062
0.1,0.001,0.4729,0.0279,0.24
0.1,0.01,0.4735,0.0287,0.2322
0.1,0.1,0.4698,0.0302,0.2409
0.1,symmetric,0.4723,0.0279,0.2248
0.1,auto,0.4723,0.0279,0.2248
1.0,0.001,0.4767,0.0185,0.2398
1.0,0.01,0.476,0.0169,0.2495
1.0,0.1,0.4739,0.0195,0.2118
1.0,symmetric,0.4752,0.019,0.2277
1.0,auto,0.4752,0.019,0.2277
symmetric,0.001,0.4679,0.0272,0.2271
symmetric,0.01,0.4666,0.0281,0.2287
symmetric,0.1,0.4635,0.0322,0.2406
symmetric,symmetric,0.4637,0.0246,0.2191
symmetric,auto,0.4637,0.0246,0.2191
auto,0.001,0.4673,0.0279,0.2271
auto,0.01,0.4662,0.028,0.2287
auto,0.1,0.4639,0.0309,0.242
auto,symmetric,0.4642,0.0254,0.2194
auto,auto,0.4642,0.0254,0.2194
